alt,alt_error_m,east,frame_id,init_xy_error_m,method,north,strategy,xy_error_m,yaw,yaw_error_deg
109.803,1.3859999999999957,254483.8746456505,000012.jpg,2.723877216987456,init,3364561.253041241,init_only,2.723877216987456,30.843849000000006,1.6438490000000172
109.206,0.9560000000000031,254484.66122530203,000013.jpg,2.2348875689085874,init,3364565.547452807,init_only,2.2348875689085874,26.536040000000014,2.6639599999999746
106.413,1.7670000000000101,254485.1087452324,000014.jpg,2.5811389570430356,init,3364567.0235949475,init_only,2.5811389570430356,29.894059999999996,0.6940600000000074
107.784,0.43899999999999295,254483.00355278433,000015.jpg,2.4619942690420635,init,3364568.43274937,init_only,2.4619942690420635,29.16351800000001,0.03648199999997814
106.164,0.5990000000000038,254485.271222078,000016.jpg,2.822842154450397,init,3364564.332316524,init_only,2.822842154450397,28.990073999999993,0.20992599999999584
105.778,1.0860000000000127,254486.20797691398,000017.jpg,2.1525968802951216,init,3364566.2685146267,init_only,2.1525968802951216,30.410404,1.2104040000000111
100.245,1.2600000000000051,254484.68431592503,000018.jpg,1.9696578583330149,init,3364570.60282092,init_only,1.9696578583330149,32.782351000000006,3.582351000000017
99.491,0.4650000000000034,254480.98551870402,000019.jpg,5.4133746982210145,init,3364572.22926911,init_only,5.4133746982210145,29.01227800000001,0.18772199999997952
97.778,1.2620000000000005,254483.17411780026,000020.jpg,4.831679570647073,init,3364574.2243611068,init_only,4.831679570647073,30.333890999999994,1.1338910000000055
98.647,0.3019999999999925,254490.58757483566,000021.jpg,6.187424118118592,init,3364566.5267074187,init_only,6.187424118118592,26.58156600000001,2.6184339999999793
100.876,2.0230000000000103,254487.90199036128,000022.jpg,4.601743672001107,init,3364576.7417608076,init_only,4.601743672001107,25.643771000000015,3.5562289999999734
100.326,1.5789999999999935,254485.93284718867,000023.jpg,2.7257827861494097,init,3364575.1821985436,init_only,2.7257827861494097,30.04242099999999,0.8424210000000016
98.711,0.016000000000005343,254485.90709415788,000024.jpg,2.4094077629936126,init,3364574.8358719144,init_only,2.4094077629936126,28.792519,0.40748099999999
99.056,0.3079999999999927,254486.42999527688,000025.jpg,2.4909342869597335,init,3364575.979178011,init_only,2.4909342869597335,29.014031999999986,0.18596800000000258
98.281,0.48599999999999,254488.4562069574,000026.jpg,3.9117022155153895,init,3364571.835577877,init_only,3.9117022155153895,31.612899,2.41289900000001
100.098,1.3340000000000032,254489.03745466477,000027.jpg,4.356765551135366,init,3364572.2441506623,init_only,4.356765551135366,30.260531000000015,1.0605310000000259
98.25,0.4620000000000033,254496.42125349495,000028.jpg,6.327043797561451,init,3364577.623706178,init_only,6.327043797561451,26.304710999999998,2.895288999999991
97.969,0.8210000000000122,254494.55635870708,000029.jpg,8.671469170548388,init,3364586.0176285086,init_only,8.671469170548388,27.905824999999993,1.2941749999999956
98.873,0.269999999999996,254492.86127000826,000030.jpg,3.066628486555273,init,3364576.6909749797,init_only,3.066628486555273,28.500325000000004,0.699674999999985
100.082,0.02199999999999136,254492.1364406346,000031.jpg,3.3345583950605704,init,3364583.339386812,init_only,3.3345583950605704,31.03782000000001,1.837820000000022
98.227,2.137999999999991,254490.78875752963,000032.jpg,1.5980659612311043,init,3364581.91125158,init_only,1.5980659612311043,26.300104000000005,2.899895999999984
101.18,0.5800000000000125,254494.92402733798,000033.jpg,2.972509113967172,init,3364580.030330129,init_only,2.972509113967172,30.284689000000014,1.0846890000000258
103.54,1.0170000000000101,254496.99098011493,000034.jpg,4.654874590987484,init,3364585.1092775986,init_only,4.654874590987484,28.97665699999999,0.22334299999999985
109.221,0.48799999999999955,254491.4171550231,000035.jpg,3.0339752336628685,init,3364581.3519457392,init_only,3.0339752336628685,26.940341999999987,2.2596580000000017
